id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
AZ.ASBS.,AZ,ASBS,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.6208,-116.4664,1400.0,1996.115,1997.168
AZ.BRNE1.,AZ,BRNE1,,"EH2,EH1,EHZ",33.508099,-116.4673,668.0,1999.106,1999.200
AZ.BRNE2.,AZ,BRNE2,,"EH2,EH1,EHZ",33.508202,-116.467201,668.0,1999.106,1999.200
AZ.BRNE3.,AZ,BRNE3,,"EH2,EH1,EHZ",33.508499,-116.467102,668.0,1999.106,1999.200
AZ.BRNE4.,AZ,BRNE4,,"EH2,EH1,EHZ",33.508598,-116.467003,668.0,1999.106,1999.200
AZ.BRNE5.,AZ,BRNE5,,"EH2,EH1,EHZ",33.508999,-116.466698,668.0,1999.106,1999.200
AZ.BRNE6.,AZ,BRNE6,,"EH2,EH1,EHZ",33.509399,-116.466202,668.0,1999.106,1999.200
AZ.BRST0.,AZ,BRST0,,"EH2,EH1,EHZ",33.5079,-116.467499,667.0,1999.106,1999.200
AZ.BRSW1.,AZ,BRSW1,,"EH2,EH1,EHZ",33.507801,-116.467697,669.0,1999.106,1999.200
AZ.BRSW2.,AZ,BRSW2,,"EH2,EH1,EHZ",33.507599,-116.467903,674.0,1999.106,1999.200
AZ.BRSW3.,AZ,BRSW3,,"EH2,EH1,EHZ",33.507599,-116.468201,684.0,1999.106,1999.200
AZ.BRSW4.,AZ,BRSW4,,"EH2,EH1,EHZ",33.5075,-116.468399,678.0,1999.106,1999.200
AZ.BRSW5.,AZ,BRSW5,,"EH2,EH1,EHZ",33.507301,-116.468803,688.0,1999.106,1999.200
AZ.BZN.,AZ,BZN,,"BHE,HH1,HHN,HHZ,HHE,EH2,BH2,BHZ,HH2,BH1,BHN,EH1,EHZ",33.4915,-116.667,1301.0,1983.020,3000.001
AZ.CCNE1.,AZ,CCNE1,,"EH2,EH1,EHZ",33.399,-116.4481,627.0,1999.011,1999.200
AZ.CCNE2.,AZ,CCNE2,,"EH2,EH1,EHZ",33.3993,-116.448,636.0,1999.011,1999.200
