id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
BK.AASB.00,BK,AASB,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",38.43026,-121.10975,67.1,2021.222,3000.001
BK.ADAM.00,BK,ADAM,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",38.75142,-122.33414,627.3,2022.168,3000.001
BK.ALVW.00,BK,ALVW,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",37.04906,-120.47143,41.8,2023.096,3000.001
BK.AONC.00,BK,AONC,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",39.93981,-122.0608,70.0,2020.163,3000.001
BK.ARC.,BK,ARC,,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.87772,-124.077377,30.1,1992.149,2001.214
BK.ATP.00,BK,ATP,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",38.34791,-122.42708,472.1,2023.263,3000.001
BK.AUSC.00,BK,AUSC,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",38.560515,-123.008941,482.2,2024.170,3000.001
BK.AVSP.00,BK,AVSP,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",35.96302,-120.13313,301.3,2024.128,3000.001
BK.AZUL.00,BK,AZUL,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",36.81113,-120.98439,1102.4,2024.093,3000.001
BK.BABI.00,BK,BABI,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",36.51579,-120.85301,571.2,2019.143,3000.001
BK.BAKR.00,BK,BAKR,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.280351,-122.492261,191.2,2022.089,3000.001
BK.BARR.00,BK,BARR,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",39.30477,-123.19748,264.7,2019.275,3000.001
BK.BAYL.00,BK,BAYL,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",39.60519,-122.05753,37.3,2023.220,3000.001
BK.BCCR.00,BK,BCCR,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",39.81856,-121.73417,518.8,2020.281,3000.001
BK.BDM.,BK,BDM,,"HHN,BHE,HHZ,HHE,BHZ,BHN",37.953972,-121.86554,219.8,1998.316,3000.001
BK.BDM.00,BK,BDM,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",37.953972,-121.86554,219.8,1998.316,3000.001
BK.BEVN.00,BK,BEVN,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",39.33287,-122.90317,856.1,2024.213,3000.001
BK.BIGV.00,BK,BIGV,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",41.09439,-121.22769,1487.3,2022.180,3000.001
BK.BJES.00,BK,BJES,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.54362,-123.87996,1050.7,2019.234,3000.001
BK.BKS.,BK,BKS,,"BH1,BH3,BH2",37.876221,-122.23558,243.9,1987.125,1991.068
BK.BL67.00,BK,BL67,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",37.87492,-122.243179,736.2,2011.105,3000.001
BK.BLAS.00,BK,BLAS,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.3227,-123.53248,1679.3,2022.180,3000.001
BK.BLCR.00,BK,BLCR,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",41.39385,-123.76358,1475.2,2024.200,3000.001
BK.BLUE.00,BK,BLUE,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",38.34234,-120.36462,1840.5,2021.191,3000.001
BK.BONV.00,BK,BONV,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",38.98742,-123.34856,196.9,2019.219,3000.001
BK.BOYR.00,BK,BOYR,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",38.98509,-121.79609,11.8,2023.186,3000.001
BK.BRAD.00,BK,BRAD,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",35.92625,-120.76114,470.0,2021.154,3000.001
BK.BRIB.,BK,BRIB,,"HHN,BHE,HHZ,HHE,BHZ,BHN",37.918861,-122.151787,219.7,1995.174,2014.350
BK.BRIB.00,BK,BRIB,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",37.918861,-122.151787,219.7,1995.174,2014.350
BK.BRIC.00,BK,BRIC,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.11223,-123.8965,180.5,2019.059,3000.001
BK.BRIT.00,BK,BRIT,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",41.03541,-121.6497,843.5,2022.020,3000.001
BK.BRK.,BK,BRK,,"HHN,BHE,HHZ,HHE,BHZ,BHN",37.87352,-122.260986,49.4,1996.229,3000.001
BK.BRK.00,BK,BRK,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",37.87352,-122.260986,49.4,1996.229,3000.001
BK.BUCI.00,BK,BUCI,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",38.13688,-122.57818,181.2,2022.238,3000.001
BK.BUCR.00,BK,BUCR,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",37.6733,-120.1496,1034.0,2019.120,3000.001
BK.CCOR.00,BK,CCOR,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",36.068841,-119.549318,61.9,2023.213,3000.001
BK.CGRV.00,BK,CGRV,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",36.79147,-118.66033,1450.2,2020.310,3000.001
BK.CLRV.00,BK,CLRV,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",41.79816,-121.11134,1377.2,2021.325,3000.001
BK.CMB.,BK,CMB,,"HHN,BHE,HHZ,HHE,BHZ,BHN",38.03455,-120.386513,697.0,1986.298,1996.269
BK.CVS.,BK,CVS,,"HHN,BHE,HHZ,HHE,BHZ,BHN",38.345261,-122.458397,295.1,1998.126,2022.168
BK.CVS.00,BK,CVS,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",38.345261,-122.458397,295.1,1998.126,2022.168
BK.DANT.00,BK,DANT,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.294601,-121.802101,967.0,2016.323,2024.179
BK.DCMP.00,BK,DCMP,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",39.46897,-123.337498,450.0,2017.209,3000.001
BK.DCMP.01,BK,DCMP,01,"HHN,BHE,HHZ,HHE,BHZ,BHN",39.46897,-123.337498,450.0,2017.209,3000.001
BK.DIAZ.00,BK,DIAZ,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",41.00383,-120.74563,1984.0,2022.230,3000.001
BK.DLIK.00,BK,DLIK,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.45543,-122.89424,1293.0,2019.324,3000.001
BK.DMOR.00,BK,DMOR,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.70973,-123.70331,1305.0,2019.232,3000.001
BK.DRDG.00,BK,DRDG,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",38.16819,-119.96892,2136.7,2021.189,3000.001
BK.DRYC.00,BK,DRYC,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",41.51694,-120.34886,1718.2,2021.342,3000.001
BK.EAGL.00,BK,EAGL,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.62486,-120.72893,1564.7,2020.296,3000.001
BK.ELFS.,BK,ELFS,,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.618351,-120.727913,1554.5,2005.139,2007.283
BK.ETSL.00,BK,ETSL,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",39.72082,-123.05399,1461.7,2024.212,3000.001
BK.FARB.,BK,FARB,,"HHN,BHE,HHZ,HHE,BHZ,BHN",37.697819,-123.001099,-18.5,1997.074,2024.031
BK.FARB.00,BK,FARB,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",37.697819,-123.001099,-18.5,1997.074,2024.031
BK.FORD.00,BK,FORD,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",36.6879,-121.78054,34.4,2019.206,3000.001
BK.GALB.00,BK,GALB,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",38.86192,-123.25636,494.8,2019.150,3000.001
BK.GASB.,BK,GASB,,"HHN,BHE,HHZ,HHE,BHZ,BHN",39.654709,-122.71595,1354.8,2005.265,2020.115
BK.GASB.00,BK,GASB,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",39.654709,-122.71595,1354.8,2005.265,2020.115
BK.GCKB.00,BK,GCKB,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",39.54462,-122.43671,249.1,2023.264,3000.001
BK.GHOP.00,BK,GHOP,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.30643,-123.97797,1028.9,2022.125,3000.001
BK.GRPK.00,BK,GRPK,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",41.12162,-121.99428,1497.2,2021.168,3000.001
BK.GTSB.00,BK,GTSB,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",39.31166,-122.60355,1102.4,2021.075,3000.001
BK.GUMB.00,BK,GUMB,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",41.21297,-122.5094,1849.8,2021.286,3000.001
BK.HALS.00,BK,HALS,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",39.81357,-123.72703,582.0,2020.171,3000.001
BK.HAPY.00,BK,HAPY,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",41.417678,-121.110674,1854.2,2021.340,3000.001
BK.HAS2.00,BK,HAS2,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",36.38546,-121.56139,603.8,2021.138,3000.001
BK.HAST.,BK,HAST,,"HHN,BHE,HHZ,HHE,BHZ,BHN",36.388699,-121.551399,542.0,2006.033,2007.245
BK.HATC.,BK,HATC,,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.816101,-121.461166,1009.3,2005.138,2007.250
BK.HAYF.00,BK,HAYF,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.5227,-123.23198,776.6,2019.323,3000.001
BK.HELL.,BK,HELL,,"HHN,BHE,HHZ,HHE,BHZ,BHN",36.680111,-119.02282,1140.0,2005.099,2007.288
BK.HOPS.,BK,HOPS,,"HHN,BHE,HHZ,HHE,BHZ,BHN",38.993488,-123.072342,299.1,1994.294,1997.119
BK.HRCH.00,BK,HRCH,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",38.57564,-123.24421,375.6,2023.173,3000.001
BK.HULI.00,BK,HULI,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",36.02134,-121.23554,342.0,2017.222,3000.001
BK.HULL.00,BK,HULL,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",39.51432,-122.94063,1891.6,2024.213,3000.001
BK.HUMO.,BK,HUMO,,"HHN,BHE,HHZ,HHE,BHZ,BHN",42.607101,-122.956688,554.9,2002.169,2018.333
BK.HUMO.00,BK,HUMO,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",42.607101,-122.956688,554.9,2002.169,2018.333
BK.HUNT.00,BK,HUNT,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.18942,-123.14557,1540.0,2022.179,3000.001
BK.INGL.00,BK,INGL,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",39.52898,-123.69844,290.5,2019.218,3000.001
BK.JAS.,BK,JAS,,BHZ,37.946629,-120.439331,428.1,1980.275,1984.207
BK.JAS1.,BK,JAS1,,BHZ,37.926628,-120.421028,398.1,1984.208,1986.297
BK.JCC.,BK,JCC,,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.817451,-124.029549,27.2,2001.101,3000.001
BK.JCC.00,BK,JCC,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.817451,-124.029549,27.2,2001.101,3000.001
BK.JEPS.00,BK,JEPS,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",38.25789,-121.82518,6.1,2018.347,3000.001
BK.JEWT.00,BK,JEWT,00,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.063044,-123.628171,694.1,2023.235,3000.001
BK.JRSC.,BK,JRSC,,"HHN,BHE,HHZ,HHE,BHZ,BHN",37.403728,-122.238678,70.5,1994.181,1995.096
