id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
CE.24644.,CE,24644,,EHZ,34.743,-118.724,1364.0,1997.282,3000.001
CE.24644.10,CE,24644,10,EHZ,34.743,-118.724,1364.0,1997.282,3000.001
CE.35078.,CE,35078,,EHZ,35.3664,-119.9239,747.0,2006.334,3000.001
CE.35078.10,CE,35078,10,EHZ,35.3664,-119.9239,747.0,2006.334,3000.001
CE.35110.,CE,35110,,EHZ,35.263,-119.8156,695.0,2007.205,3000.001
CE.35110.10,CE,35110,10,EHZ,35.263,-119.8156,695.0,2007.205,3000.001
CE.35342.,CE,35342,,EHZ,35.2607,-119.8202,669.0,2007.240,3000.001
CE.35342.10,CE,35342,10,EHZ,35.2607,-119.8202,669.0,2007.240,3000.001
CE.36014.,CE,36014,,EHZ,35.3039,-120.0222,640.0,2006.333,3000.001
CE.36014.10,CE,36014,10,EHZ,35.3039,-120.0222,640.0,2006.333,3000.001
CE.77352.,CE,77352,,EHZ,39.5113,-121.5041,123.0,2005.067,3000.001
CE.77352.10,CE,77352,10,EHZ,39.5113,-121.5041,123.0,2005.067,3000.001
