id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
CI.ABL.,CI,ABL,,EHZ,34.84845,-119.22497,1975.0,1976.205,2020.105
CI.ACP.,CI,ACP,,"HHN,BHE,HHZ,HHE,BHZ,BHN",32.9546,-116.30338,392.2,2014.365,3000.001
CI.ADL.,CI,ADL,,EHZ,34.55581,-117.41804,868.0,1975.042,1997.045
CI.ADO.,CI,ADO,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.55046,-117.43391,908.0,2000.222,3000.001
CI.AGA.,CI,AGA,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.63838,-116.4011,809.0,1999.320,2005.131
CI.AGM.,CI,AGM,,"BHE,HHN,HHZ,HHE,BHZ,BHN,EHZ",32.84474,-114.78425,324.0,2017.156,3000.001
CI.AGO.,CI,AGO,,EHZ,34.14647,-118.76699,259.0,1995.297,3000.001
CI.ALP.,CI,ALP,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.68708,-118.29946,753.0,1999.278,3000.001
CI.ALV.,CI,ALV,,EHZ,35.06172,-116.62887,640.0,1999.201,2015.120
CI.AMS.,CI,AMS,,EHZ,33.1414,-115.25493,148.8,1973.115,1990.194
CI.ANG.,CI,ANG,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.503277,-116.808391,1050.4,2022.140,3000.001
CI.APL.,CI,APL,,EHZ,35.34149,-116.87464,959.0,2016.312,3000.001
CI.ARB.,CI,ARB,,"EHE,EHN,EHZ",34.00431,-117.6054,221.7,1991.092,1991.183
CI.ARG.,CI,ARG,,EHZ,36.0837,-117.4806,2500.0,1996.338,2002.045
CI.ARV.,CI,ARV,,"BHE,HHN,HHZ,HHE,BHZ,BHN,EHZ",35.1269,-118.83009,258.0,1983.258,3000.001
CI.ASP.,CI,ASP,,EHZ,35.86114,-119.38511,64.0,2016.299,3000.001
CI.AVC.,CI,AVC,,EHZ,33.333118,-118.335424,0.0,2015.260,3000.001
CI.AVM.,CI,AVM,,"HHN,BHE,HHZ,HHE,BHZ,BHN",35.06562,-116.61549,708.5,2015.132,3000.001
CI.AZU.,CI,AZU,,"EHE,EHN,EHZ",34.2198,-117.90121,1140.0,1991.180,1992.183
CI.BAC.,CI,BAC,,EHZ,33.6122,-117.0406,551.0,1993.348,3000.001
CI.BAI.,CI,BAI,,"BHE,HHN,HHZ,HHE,BHZ,BHN,EHZ",34.77695,-118.77335,1035.0,2013.302,3000.001
CI.BAK.,CI,BAK,,"HHN,BHE,HHZ,HHE,BHZ,BHN",35.34444,-119.10445,116.0,1999.172,3000.001
CI.BAL.,CI,BAL,,EHZ,34.30764,-118.96713,258.0,1994.034,2014.132
CI.BAR.,CI,BAR,,"BHE,HHN,HHZ,HHE,EHE,EHN,BHZ,BHN,EHZ",32.68005,-116.67215,529.0,1932.248,3000.001
CI.BAT.,CI,BAT,,EHZ,33.45828,-115.84153,-53.0,1977.130,2014.135
CI.BAW.,CI,BAW,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.839348,-117.14943,732.3,2022.138,3000.001
CI.BBC.,CI,BBC,,EHZ,34.2417,-116.90914,2016.0,1951.175,1974.270
CI.BBR.,CI,BBR,,"HHN,BHE,HHZ,HHE,BHZ,BHN",34.2623,-116.92075,2069.0,2000.166,3000.001
CI.BBS.,CI,BBS,,"HHN,BHE,HHZ,HHE,BHZ,BHN",33.92139,-116.98058,785.0,2000.257,3000.001
CI.BC2.,CI,BC2,,EHZ,33.65702,-115.46202,995.0,1974.324,1992.185
