id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
GM.AA01.01,GM,AA01,01,"HHE,HHN,HHZ",39.494368,-121.320827,759.0,2017.060,2018.178
GM.AA12.01,GM,AA12,01,"HHE,HHN,HHZ",39.53523,-121.4669,385.0,2017.110,2018.178
GM.AC06.01,GM,AC06,01,"HHE,HHN,HHZ",37.428234,-122.172687,29.3,2017.278,2017.286
GM.AC07.01,GM,AC07,01,"HHE,HHN,HHZ",37.428138,-122.175692,32.0,2017.278,2017.286
GM.AC08.01,GM,AC08,01,"HHE,HHN,HHZ",37.427064,-122.173915,32.0,2017.278,2017.286
GM.AE01.01,GM,AE01,01,"HHE,HHN,HHZ",38.585933,-119.519863,1619.0,2021.191,3000.001
GM.AE02.01,GM,AE02,01,"HHE,HHN,HHZ",38.52584,-119.5602,2533.0,2021.192,2021.342
GM.AE03.01,GM,AE03,01,"HHE,HHN,HHZ",38.50676,-119.496622,1802.0,2021.192,2021.342
GM.AE04.01,GM,AE04,01,"HHE,HHN,HHZ",38.48694,-119.48591,1905.0,2021.193,2021.342
GM.AE05.01,GM,AE05,01,"HHE,HHN,HHZ",38.52931,-119.19248,2186.0,2021.193,2021.342
GM.AE06.01,GM,AE06,01,"HHE,HHN,HHZ",38.60981,-119.925175,2471.0,2021.193,2021.279
GM.LST1.01,GM,LST1,01,"EHE,EHN,EHZ",41.471331,-122.304108,1335.0,2022.157,2022.297
GM.LST2.01,GM,LST2,01,"EHE,EHN,EHZ",41.462034,-122.217914,2180.0,2022.157,2022.297
GM.LST3.01,GM,LST3,01,"EHE,EHN,EHZ",41.334475,-122.105693,1537.0,2022.157,2022.297
GM.LST4.01,GM,LST4,01,"EHE,EHN,EHZ",41.37585,-122.125359,2056.0,2022.157,2022.297
GM.LST5.01,GM,LST5,01,"EHE,EHN,EHZ",41.386588,-122.192659,3386.0,2022.157,3000.001
