id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
NC.AAR.,NC,AAR,,EHZ,39.275936,-121.026962,911.0,1976.202,2006.004
NC.AAS.,NC,AAS,,EHZ,38.430138,-121.109589,31.0,1984.332,2021.225
NC.ABA.,NC,ABA,,EHZ,38.879333,-121.067497,422.0,1976.303,1977.040
NC.ABJ.,NC,ABJ,,EHZ,39.165771,-121.192993,434.0,1976.209,2019.177
NC.ABR.,NC,ABR,,EHZ,39.138126,-121.488167,-1.0,1977.040,1997.216
NC.ADW.,NC,ADW,,EHZ,38.438957,-120.84938,228.0,1976.197,2006.110
NC.AFD.,NC,AFD,,"HHE,HHN,EHZ,HHZ",38.945961,-120.968971,505.0,1976.029,3000.001
NC.AFH.,NC,AFH,,EHZ,39.039948,-120.795006,1039.0,1976.202,2006.004
NC.AFL.01,NC,AFL,01,EHZ,38.760869,-121.105383,218.0,2021.084,3000.001
NC.AFO.,NC,AFO,,EHZ,38.944832,-120.96833,524.0,1983.136,1984.114
NC.AFR.,NC,AFR,,EHZ,38.79221,-121.349266,10.0,1976.328,1996.135
NC.AGI.,NC,AGI,,EHZ,38.844666,-120.981331,305.0,1976.028,1985.340
NC.AHD.,NC,AHD,,EHZ,39.048332,-121.0765,483.0,1976.302,1980.164
NC.AHR.,NC,AHR,,EHZ,38.854839,-121.072037,349.0,1976.029,2005.124
NC.ALA.,NC,ALA,,EHZ,38.567101,-120.956932,263.0,1977.202,2006.110
NC.ALN.,NC,ALN,,EHZ,38.929131,-121.287041,27.0,1976.329,2005.145
NC.AOD.,NC,AOD,,EHZ,38.614719,-120.730225,504.0,1976.293,2006.110
NC.AOH.,NC,AOH,,EHZ,39.376266,-121.257668,410.0,1977.041,2019.171
NC.APG.,NC,APG,,EHZ,38.792645,-121.358589,2.0,1996.192,2004.218
NC.APR.,NC,APR,,EHZ,38.877029,-121.218231,113.0,1976.197,2006.004
NC.ARJ.,NC,ARJ,,EHZ,38.686256,-120.957603,437.0,1976.327,2006.110
NC.ARR.,NC,ARR,,EHZ,38.764992,-121.172455,100.0,1976.328,2007.142
NC.ARW.,NC,ARW,,EHZ,38.956333,-121.16217,320.0,1976.029,1984.341
NC.ASM.,NC,ASM,,EHZ,38.823795,-120.684998,1160.0,1984.338,2003.030
NC.ASMB.,NC,ASMB,,EHZ,38.82365,-120.68499,1182.0,2010.173,2023.241
NC.ASR.,NC,ASR,,EHZ,38.497665,-121.204834,52.0,1976.203,1977.192
NC.AVR.,NC,AVR,,EHZ,39.024307,-121.271881,95.0,1976.197,2007.142
NC.BAP.,NC,BAP,,EHZ,36.18042,-121.644402,1193.0,1985.178,2021.242
NC.BAPB.01,NC,BAPB,01,EHZ,36.18086,-121.64144,1229.0,2021.231,3000.001
NC.BAV.,NC,BAV,,EHZ,36.645954,-121.030151,572.0,1975.183,2020.153
NC.BBG.,NC,BBG,,EHZ,36.577965,-121.039177,1065.0,1983.194,2008.182
NC.BBGB.,NC,BBGB,,"HHE,HHN,HHZ",36.578484,-121.039566,1089.0,2008.179,3000.001
NC.BBM.,NC,BBM,,EHZ,36.591331,-121.02533,1216.0,1972.063,1983.193
NC.BBN.01,NC,BBN,01,EHZ,36.509998,-121.0755,412.0,1971.028,2020.153
NC.BBN.02,NC,BBN,02,EHZ,36.509998,-121.0755,412.0,1971.028,2020.153
NC.BBN.03,NC,BBN,03,EHZ,36.509998,-121.0755,412.0,1971.028,2020.153
NC.BCC.01,NC,BCC,01,EHZ,36.5413,-121.74248,244.0,2019.063,3000.001
NC.BCG.,NC,BCG,,EHZ,36.709618,-121.342842,250.0,1968.172,2020.153
NC.BCGB.01,NC,BCGB,01,EHZ,36.70746,-121.34651,426.0,2021.341,3000.001
NC.BCW.,NC,BCW,,EHZ,36.306477,-121.566879,1505.0,1985.179,2021.230
NC.BCWB.01,NC,BCWB,01,EHZ,36.305137,-121.565843,1507.0,2022.137,3000.001
NC.BEH.,NC,BEH,,EHZ,36.664803,-121.175385,334.0,1971.032,2020.153
NC.BEM.,NC,BEM,,EHZ,36.661072,-121.096786,464.0,1970.226,2020.153
NC.BHR.,NC,BHR,,EHZ,36.72747,-121.266541,175.0,1981.035,2019.353
NC.BHS.,NC,BHS,,EHZ,36.355835,-121.539833,646.0,1975.216,1985.193
NC.BHW.01,NC,BHW,01,EHZ,36.38445,-121.3781,206.0,2019.109,3000.001
NC.BJC.01,NC,BJC,01,EHZ,36.547001,-121.392166,173.0,1969.169,3000.001
NC.BJC.02,NC,BJC,02,EHZ,36.547001,-121.392166,173.0,1969.169,3000.001
NC.BJF.01,NC,BJF,01,EHZ,36.29283,-121.40327,722.0,2019.109,3000.001
NC.BJO.,NC,BJO,,EHZ,36.610981,-121.314194,1021.0,1974.010,2007.137
NC.BJOB.,NC,BJOB,,"EHE,EHN,EHZ",36.610867,-121.314667,1052.0,2007.136,3000.001
NC.BKC.01,NC,BKC,01,EHZ,36.5802,-121.62623,125.0,2019.112,3000.001
NC.BLR.01,NC,BLR,01,EHZ,36.667,-121.273315,189.0,1973.046,2020.153
NC.BLR.02,NC,BLR,02,EHZ,36.667,-121.273315,189.0,1973.046,2020.153
NC.BMC.,NC,BMC,,EHZ,36.656666,-121.365334,1022.0,1976.021,1982.236
NC.BMH.,NC,BMH,,EHZ,36.686333,-121.41333,811.0,1976.019,1982.236
NC.BMS.,NC,BMS,,EHZ,36.663078,-120.792923,780.0,1973.324,2023.331
NC.BPA.01,NC,BPA,01,"HHE,HHN,HHZ",36.664864,-121.108694,585.0,2024.304,3000.001
NC.BPC.,NC,BPC,,"EHN,EHZ",36.573399,-121.626862,173.0,1981.343,2019.151
NC.BPF.,NC,BPF,,EHZ,36.230331,-121.772003,349.0,1973.352,1991.350
NC.BPI.,NC,BPI,,EHZ,36.490063,-121.169579,301.0,1975.184,2020.153
NC.BPL.01,NC,BPL,01,EHZ,36.46538,-121.86833,710.0,2021.342,3000.001
NC.BPN.,NC,BPN,,EHZ,36.562168,-121.63633,305.0,1967.257,1976.141
NC.BPO.,NC,BPO,,EHZ,36.228378,-121.7677,330.0,1991.351,2019.340
NC.BPOB.01,NC,BPOB,01,EHZ,36.22789,-121.76717,340.0,2019.331,3000.001
NC.BPP.,NC,BPP,,EHZ,36.168667,-121.377998,1591.0,1973.353,1987.084
NC.BPR.,NC,BPR,,EHZ,36.407131,-121.73056,711.0,1984.036,2017.173
NC.BPRB.01,NC,BPRB,01,EHZ,36.407211,-121.730667,738.0,2017.186,3000.001
NC.BPV.01,NC,BPV,01,EHZ,36.70522,-121.25906,381.0,2019.072,3000.001
NC.BPY.,NC,BPY,,EHZ,36.564999,-121.635834,268.0,1975.215,1981.343
NC.BR1.,NC,BR1,,EHZ,36.668499,-121.519165,399.0,1969.129,1977.068
NC.BRM.,NC,BRM,,EHZ,36.845051,-120.824654,343.0,1973.324,2023.331
NC.BRV.01,NC,BRV,01,EHZ,36.424683,-121.018967,525.0,1969.330,3000.001
NC.BRV.02,NC,BRV,02,EHZ,36.424683,-121.018967,525.0,1969.330,3000.001
NC.BS2.,NC,BS2,,EHZ,36.633667,-121.233498,293.0,1967.022,1975.021
NC.BS3.,NC,BS3,,EHZ,36.634998,-121.23967,267.0,1975.021,1977.060
NC.BS4.,NC,BS4,,EHZ,36.632999,-121.234169,357.0,1976.280,1978.056
NC.BSB.,NC,BSB,,EHZ,36.737835,-121.286835,398.0,1975.171,1981.154
NC.BSC.,NC,BSC,,EHZ,36.641666,-121.259834,323.0,1978.056,1991.045
NC.BSG.,NC,BSG,,"EHE,EHN,EHZ",36.413845,-121.25515,161.0,1969.169,3000.001
NC.BSG.01,NC,BSG,01,EHZ,36.413845,-121.25515,161.0,1969.169,3000.001
NC.BSL.,NC,BSL,,EHZ,36.776535,-121.35009,142.0,1975.197,2020.153
NC.BSM.01,NC,BSM,01,EHZ,36.383835,-121.42717,884.0,1985.318,3000.001
NC.BSM.02,NC,BSM,02,EHZ,36.383835,-121.42717,884.0,1985.318,3000.001
NC.BSR.,NC,BSR,,"EHE,EHN,EHZ",36.667431,-121.520325,375.0,1977.063,3000.001
NC.BTI.01,NC,BTI,01,EHZ,36.10021,-121.43922,544.0,2022.265,3000.001
NC.BTV.01,NC,BTV,01,EHZ,36.455281,-121.057975,596.0,2019.141,3000.001
NC.BVL.,NC,BVL,,EHZ,36.574894,-121.190086,479.0,1970.246,2019.309
NC.BVLB.01,NC,BVLB,01,EHZ,36.571701,-121.185402,444.0,2018.256,3000.001
NC.BVY.,NC,BVY,,EHZ,36.746239,-121.415764,647.0,1975.345,2019.353
NC.CAC.,NC,CAC,,EHZ,37.976166,-121.76033,74.0,1973.299,1988.145
NC.CAD.01,NC,CAD,01,EHZ,37.162834,-121.624168,152.0,1967.237,2001.165
NC.CAD.02,NC,CAD,02,EHZ,37.162834,-121.624168,152.0,1967.237,2001.165
NC.CAD.03,NC,CAD,03,EHZ,37.162834,-121.624168,152.0,1967.237,2001.165
NC.CADB.,NC,CADB,,EHZ,37.16346,-121.62645,190.0,2001.164,3000.001
NC.CAG.,NC,CAG,,EHZ,37.857269,-122.422661,60.0,2002.074,3000.001
NC.CAI.,NC,CAI,,EHZ,37.861324,-122.430031,187.0,1969.220,2002.041
NC.CAL.02,NC,CAL,02,EHZ,37.450348,-121.800369,251.0,1967.292,3000.001
NC.CAL.01,NC,CAL,01,EHZ,37.450348,-121.800369,251.0,1967.292,3000.001
NC.CAL.,NC,CAL,,EHZ,37.450348,-121.800369,251.0,1967.292,3000.001
NC.CAO.,NC,CAO,,EHZ,37.34848,-121.534668,622.0,1967.292,2019.239
NC.CAO.01,NC,CAO,01,EHZ,37.34848,-121.534668,622.0,1967.292,2019.239
NC.CAP.01,NC,CAP,01,EHZ,37.53291,-121.78951,737.0,2019.242,3000.001
NC.CBH.,NC,CBH,,EHZ,37.796833,-121.646164,279.0,1980.041,1982.110
NC.CBK.,NC,CBK,,EHZ,37.875999,-122.248001,276.0,1982.320,1987.128
NC.CBLG.,NC,CBLG,,EHZ,37.7715,-118.898331,2560.0,1985.289,1989.313
NC.CBP.,NC,CBP,,EHZ,37.747665,-121.708427,167.0,2001.269,3000.001
NC.CBR.,NC,CBR,,"EHE,EHN,EHZ",37.816471,-122.063019,580.0,1969.235,3000.001
NC.CBR.10,NC,CBR,10,EHZ,37.816471,-122.063019,580.0,1969.235,3000.001
NC.CBS.,NC,CBS,,EHZ,37.817783,-121.641296,28.0,1982.110,2016.335
NC.CBSB.01,NC,CBSB,01,EHZ,37.817783,-121.641296,28.0,2016.342,3000.001
NC.CBW.,NC,CBW,,EHZ,37.924091,-122.107628,201.0,1971.118,2009.258
NC.CBZ.,NC,CBZ,,EHZ,37.691116,-121.717201,145.0,1989.038,3000.001
NC.CCN.,NC,CCN,,EHZ,37.7915,-121.948166,219.0,1976.054,1981.044
NC.CCO.02,NC,CCO,02,EHZ,37.259041,-121.673508,329.0,1967.286,2007.318
NC.CCO.01,NC,CCO,01,EHZ,37.259041,-121.673508,329.0,1967.286,2007.318
NC.CCO.,NC,CCO,,EHZ,37.259041,-121.673508,329.0,1967.286,2007.318
NC.CCOB.,NC,CCOB,,"EHE,EHN,EHZ",37.258984,-121.673119,371.0,2007.319,3000.001
NC.CCR.,NC,CCR,,EHZ,37.788334,-121.949997,185.0,1970.210,1976.036
NC.CCY.,NC,CCY,,EHZ,37.551552,-122.091019,21.0,1975.121,2004.112
NC.CDA.,NC,CDA,,EHZ,37.730431,-121.730278,167.0,1980.032,2003.118
NC.CDB.,NC,CDB,,EHZ,37.881668,-121.914169,1173.0,1967.147,1974.161
NC.CDG.01,NC,CDG,01,EHZ,37.385319,-121.283276,420.0,2019.261,3000.001
NC.CDO.,NC,CDO,,EHZ,37.730057,-121.836304,169.0,1970.210,2004.071
NC.CDOB.,NC,CDOB,,EHZ,37.729401,-121.833458,139.0,2000.257,3000.001
NC.CDS.,NC,CDS,,EHZ,37.966331,-122.252831,109.0,1973.319,1982.231
NC.CDU.,NC,CDU,,EHZ,38.029896,-122.001648,160.0,1971.118,2000.354
NC.CDV.,NC,CDV,,EHZ,37.566502,-121.679253,262.0,1979.283,2010.318
NC.CFR.,NC,CFR,,EHZ,37.685665,-121.670998,260.0,1980.183,1985.365
NC.CGP.,NC,CGP,,EHZ,37.645393,-122.011436,337.0,1992.031,3000.001
NC.CHMG.,NC,CHMG,,EHZ,37.624832,-118.929665,2301.0,1983.297,1985.289
NC.CHR.,NC,CHR,,EHZ,37.372883,-121.768867,489.0,2004.245,2023.117
NC.CLC.,NC,CLC,,EHZ,37.738075,-122.065041,286.0,1972.326,2004.350
NC.CLCB.,NC,CLCB,,EHZ,37.737865,-122.064865,309.0,2004.265,3000.001
NC.CMC.,NC,CMC,,EHZ,37.781216,-122.176804,52.0,1971.201,2012.216
NC.CMC.02,NC,CMC,02,EHZ,37.781216,-122.176804,52.0,1971.201,2012.216
NC.CMD.,NC,CMD,,EHZ,37.867332,-121.928169,719.0,1970.147,1970.210
NC.CMH.,NC,CMH,,EHZ,37.359077,-121.757553,503.0,1968.240,2002.079
NC.CMI.,NC,CMI,,EHZ,37.544849,-121.892403,359.0,1996.061,1996.068
NC.CMJ.,NC,CMJ,,EHZ,37.520237,-121.873314,479.0,1972.183,2017.125
NC.CML.,NC,CML,,EHZ,37.47752,-121.652939,1055.0,1980.088,3000.001
NC.CML.01,NC,CML,01,EHZ,37.47752,-121.652939,1055.0,1980.088,3000.001
NC.CMLP.,NC,CMLP,,EHZ,37.449055,-121.834084,360.0,2015.191,3000.001
NC.CMM.,NC,CMM,,EHZ,37.455669,-121.494667,1117.0,1980.001,3000.001
NC.CMN.,NC,CMN,,EHZ,37.627934,-121.707169,209.0,1979.331,2004.104
NC.CMO.,NC,CMO,,EHZ,37.811035,-121.803665,745.0,1969.107,2005.118
NC.CMOB.,NC,CMOB,,EHZ,37.810417,-121.802719,743.0,2005.116,3000.001
NC.CMP.03,NC,CMP,03,EHZ,37.357716,-121.318253,760.0,1979.312,2020.233
NC.CMP.02,NC,CMP,02,EHZ,37.357716,-121.318253,760.0,1979.312,2020.233
NC.CMP.01,NC,CMP,01,EHZ,37.357716,-121.318253,760.0,1979.312,2020.233
NC.CMR.,NC,CMR,,EHZ,37.594978,-121.637978,470.0,1969.107,2004.071
NC.CMW.,NC,CMW,,"HHN,HHZ,HHE,EHE,EHN,EHZ",37.540531,-121.887344,369.0,2012.011,3000.001
NC.CNC.,NC,CNC,,EHZ,37.756001,-121.989998,306.0,1976.237,1977.174
NC.CNI.,NC,CNI,,"EHE,EHN,EHZ",37.607948,-121.964561,393.0,1993.067,3000.001
NC.COR.,NC,COR,,EHZ,37.465332,-121.734337,964.0,1969.339,1970.163
NC.COS.01,NC,COS,01,EHZ,37.508034,-121.375069,972.0,1979.313,2019.276
NC.COS.02,NC,COS,02,EHZ,37.508034,-121.375069,972.0,1979.313,2019.276
NC.CPA.,NC,CPA,,EHZ,37.631332,-121.956169,463.0,1969.178,1980.023
NC.CPI.,NC,CPI,,EHZ,37.988903,-122.215607,203.0,1991.283,3000.001
NC.CPL.,NC,CPL,,EHZ,37.637501,-121.960663,317.0,1980.023,1993.063
NC.CPM.,NC,CPM,,EHZ,37.949062,-122.408508,94.0,1991.247,3000.001
NC.CPN.,NC,CPN,,EHZ,37.650166,-121.861664,200.0,1979.284,1984.152
NC.CPP.01,NC,CPP,01,EHZ,37.700932,-121.684364,206.0,1987.007,3000.001
NC.CPP.02,NC,CPP,02,EHZ,37.700932,-121.684364,206.0,1987.007,3000.001
NC.CPP.03,NC,CPP,03,EHZ,37.700932,-121.684364,206.0,1987.007,3000.001
NC.CPR.,NC,CPR,,EHZ,37.429165,-121.7425,975.0,1968.194,1970.127
NC.CPS.,NC,CPS,,EHZ,37.689999,-121.699997,155.0,1980.028,1989.038
NC.CRA.,NC,CRA,,EHZ,37.767166,-121.9375,171.0,1976.239,1988.088
NC.CRH.,NC,CRH,,EHZ,37.858841,-121.992638,259.0,2000.264,3000.001
NC.CRP.,NC,CRP,,EHZ,37.912663,-121.906494,303.0,1970.261,2001.163
NC.CRPB.,NC,CRPB,,EHZ,37.912331,-121.907158,307.0,2001.156,3000.001
NC.CSA.,NC,CSA,,EHZ,37.672398,-121.702896,177.0,1979.282,3000.001
NC.CSC.,NC,CSC,,EHZ,37.285168,-121.772499,128.0,1967.161,1991.358
NC.CSH.,NC,CSH,,EHZ,37.647999,-122.042831,170.0,1973.015,1992.031
NC.CSL.,NC,CSL,,EHZ,37.724159,-122.119293,219.0,1991.220,3000.001
NC.CSP.,NC,CSP,,EHZ,37.957115,-122.31147,179.0,1982.200,2013.163
NC.CSPB.,NC,CSPB,,EHZ,37.957161,-122.311302,208.0,2013.164,3000.001
NC.CSR.01,NC,CSR,01,EHZ,37.78651,-121.93084,233.0,2023.193,3000.001
NC.CST.,NC,CST,,EHZ,37.640583,-121.498009,187.0,1981.049,1998.336
NC.CSTB.,NC,CSTB,,EHZ,37.639702,-121.498337,190.0,1998.336,2006.068
NC.CSTC.,NC,CSTC,,EHZ,37.638439,-121.498428,200.0,2009.037,3000.001
NC.CSV.,NC,CSV,,EHZ,37.865318,-122.006279,199.0,1990.123,2002.030
NC.CTA.,NC,CTA,,EHZ,38.026909,-122.015991,152.0,2000.278,3000.001
NC.CTF.,NC,CTF,,EHZ,37.646332,-121.672501,295.0,1980.183,1988.029
NC.CTH.,NC,CTH,,EHZ,37.668018,-121.655746,344.0,1980.001,2009.030
NC.CTL.,NC,CTL,,EHZ,37.657333,-121.643837,458.0,1977.174,1982.321
NC.CVA.,NC,CVA,,EHZ,37.618168,-121.759895,174.0,1981.041,2004.071
NC.CVL.,NC,CVL,,EHZ,37.623592,-121.836411,313.0,1979.318,3000.001
NC.CVP.,NC,CVP,,EHZ,37.884003,-122.223228,527.0,1991.116,2020.210
NC.CVY.,NC,CVY,,"EHE,EHN,EHZ",37.656239,-121.831589,131.0,1984.104,2007.001
NC.CYB.,NC,CYB,,EHZ,37.807873,-122.361801,-6.0,1992.156,3000.001
NC.CYH.,NC,CYH,,EHZ,37.558998,-122.093666,38.0,1966.349,1975.136
NC.DBOG.,NC,DBOG,,EHZ,37.652832,-118.917831,2243.0,1984.096,1989.313
NC.EXSG.,NC,EXSG,,EHZ,37.613667,-118.830498,2153.0,1984.096,1989.313
NC.GAC.,NC,GAC,,EHZ,38.872742,-122.862915,968.0,1986.135,2020.232
NC.GAF.,NC,GAF,,EHZ,38.893166,-123.538002,710.0,1975.022,1982.124
NC.GAR.,NC,GAR,,EHZ,38.960037,-122.250305,242.0,1981.126,2023.046
NC.GAX.,NC,GAX,,EHZ,38.710682,-122.75724,367.0,1973.262,2007.164
NC.GAXB.,NC,GAXB,,EHZ,38.710732,-122.757332,386.0,2007.164,3000.001
NC.GBB.,NC,GBB,,EHZ,39.80127,-122.345497,170.0,2000.341,2024.086
NC.GBD.,NC,GBD,,EHZ,39.442429,-123.310654,632.0,1978.095,2006.199
NC.GBG.,NC,GBG,,EHZ,38.814358,-122.682625,1103.0,1975.177,3000.001
NC.GBG.01,NC,GBG,01,EHZ,38.814358,-122.682625,1103.0,1975.177,3000.001
NC.GBL.01,NC,GBL,01,EHZ,39.11709,-123.70883,144.0,2019.135,3000.001
NC.GBM.,NC,GBM,,EHZ,39.140854,-122.497391,1010.0,1981.126,2020.225
NC.GBO.,NC,GBO,,EHZ,38.824333,-122.842834,879.0,1975.171,1982.274
NC.GCB.,NC,GCB,,EHZ,39.391335,-123.522987,599.0,1979.247,1996.213
NC.GCK.,NC,GCK,,EHZ,39.543755,-122.436684,251.0,2000.158,2023.283
NC.GCM.,NC,GCM,,EHZ,38.805832,-122.755165,1286.0,1975.113,1986.058
NC.GCR.01,NC,GCR,01,EHZ,38.773834,-122.716499,693.0,1979.128,2019.163
NC.GCR.02,NC,GCR,02,EHZ,38.773834,-122.716499,693.0,1979.128,2019.163
NC.GCS.,NC,GCS,,EHZ,39.022835,-123.521164,790.0,1982.106,1989.192
NC.GCV.01,NC,GCV,01,EHZ,38.769001,-123.014832,125.0,1975.127,2004.273
NC.GCV.02,NC,GCV,02,EHZ,38.769001,-123.014832,125.0,1975.127,2004.273
NC.GCVB.,NC,GCVB,,EHZ,38.769268,-123.01487,151.0,2004.230,3000.001
NC.GCW.,NC,GCW,,EHZ,39.13081,-123.077057,1050.0,1978.089,2012.129
NC.GCWB.01,NC,GCWB,01,EHZ,39.12997,-123.07651,1077.0,2022.270,3000.001
NC.GDC.,NC,GDC,,EHZ,38.76778,-123.239555,736.0,1975.127,2019.310
NC.GDCB.01,NC,GDCB,01,EHZ,38.76746,-123.23972,773.0,2019.136,3000.001
NC.GDX.,NC,GDX,,EHZ,38.807774,-122.794739,910.0,1977.321,2006.144
