id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
NN.ADH.,NN,ADH,,EHZ,37.968201,-118.716301,2043.0,1985.001,2020.138
NN.ANT.,NN,ANT,,EHZ,37.917702,-118.565002,2040.0,1990.001,2020.138
NN.BAB.,NN,BAB,,EHZ,39.6024,-120.1059,2659.0,1982.305,3000.001
NN.BCK.,NN,BCK,,EHZ,37.697399,-118.373001,1634.0,1984.257,2020.138
NN.BCK.N1,NN,BCK,N1,EHZ,37.697399,-118.373001,1634.0,1984.257,2020.138
NN.BEK.,NN,BEK,,"HHN,BHE,HHZ,HHE,BHZ,BHN",39.8666,-120.3596,1743.0,1996.276,3000.001
NN.BEN.,NN,BEN,,EHZ,37.715401,-118.574097,2476.0,1984.001,2020.138
NN.BEN.N1,NN,BEN,N1,EHZ,37.715401,-118.574097,2476.0,1984.001,2020.138
NN.BFC.,NN,BFC,,"HHE,HHN,EHZ,HHZ",38.8938,-119.6094,1744.0,1978.059,3000.001
NN.BHP.,NN,BHP,,EHZ,37.299999,-118.488297,2171.0,1986.216,2020.138
NN.BHP.N1,NN,BHP,N1,EHZ,37.299999,-118.488297,2171.0,1986.216,2020.138
NN.BMR.,NN,BMR,,EHZ,40.108601,-120.292,2146.0,1984.224,2018.163
NN.BMR.N1,NN,BMR,N1,EHZ,40.108601,-120.292,2146.0,1984.224,2018.163
NN.BON.N1,NN,BON,N1,EHZ,37.955101,-118.302696,2582.0,1990.001,2020.138
NN.BON.,NN,BON,,EHZ,37.955101,-118.302696,2582.0,1990.001,2020.138
NN.CAS.,NN,CAS,,EHZ,37.575699,-118.553902,2295.0,1984.001,2020.138
NN.CAS.N1,NN,CAS,N1,EHZ,37.575699,-118.553902,2295.0,1984.001,2020.138
NN.COLR.,NN,COLR,,"HHE,HHN,HHZ",41.9582,-119.7905,1482.0,2014.322,2018.037
NN.CTC.,NN,CTC,,"HHE,HHN,HHZ",39.207699,-120.125999,2147.0,2014.220,3000.001
NN.CWC.N1,NN,CWC,N1,EHZ,37.494835,-118.306335,2000.0,1984.223,2002.277
NN.DNY.,NN,DNY,,EHZ,41.081299,-119.276604,2012.0,1985.326,1998.296
NN.DON.,NN,DON,,EHZ,39.3517,-120.320503,2268.0,1999.208,3000.001
NN.DSP.,NN,DSP,,EHZ,37.368,-117.972198,1692.0,1989.138,1998.321
NN.EBP.,NN,EBP,,EHZ,38.582699,-119.807297,2432.0,1984.303,2017.271
NN.EBP.N1,NN,EBP,N1,EHZ,38.582699,-119.807297,2432.0,1984.303,2017.271
NN.EMB.,NN,EMB,,"HHE,HHN,EHZ,HHZ",38.9744,-120.1029,2134.2,1984.306,2018.335
NN.EUR.,NN,EUR,,EHZ,39.754101,-120.711899,1951.0,1999.295,2001.228
NN.FLV.,NN,FLV,,EHZ,37.8139,-117.9104,1689.0,1985.001,2001.228
NN.FMT.,NN,FMT,,EHZ,36.637501,-116.783501,1079.0,1978.332,3000.001
NN.FPK.,NN,FPK,,EHZ,39.224998,-118.151604,2494.0,1995.298,2001.228
NN.GMN.,NN,GMN,,EHZ,37.300301,-117.260696,2168.0,1990.001,3000.001
NN.GNO.,NN,GNO,,EHZ,38.9291,-119.853798,1646.0,1990.001,2017.271
NN.GNO.N1,NN,GNO,N1,EHZ,38.9291,-119.853798,1646.0,1990.001,2017.271
NN.GVN.,NN,GVN,,EHZ,36.999802,-117.344398,844.0,1990.001,3000.001
NN.GWY.,NN,GWY,,EHZ,36.186001,-116.6698,1538.0,1990.001,3000.001
NN.GZY.,NN,GZY,,EHZ,39.961899,-120.651299,1935.0,1999.295,2001.228
NN.HCK.,NN,HCK,,EHZ,38.075401,-118.593201,1890.0,1984.300,2020.138
NN.HCK.N1,NN,HCK,N1,EHZ,38.075401,-118.593201,1890.0,1984.300,2020.138
NN.HTC.,NN,HTC,,EHZ,37.529701,-118.772003,3012.0,1984.240,2011.021
NN.HTC.N1,NN,HTC,N1,EHZ,37.529701,-118.772003,3012.0,1984.240,2011.021
NN.HYX.,NN,HYX,,EHZ,39.772701,-117.764198,1661.0,1990.001,2001.228
NN.IND.,NN,IND,,EHZ,39.4342,-120.292702,2146.0,1990.001,2018.163
NN.KBF.,NN,KBF,,EHZ,39.506699,-120.213898,2111.0,1984.315,2018.163
NN.KBF.N1,NN,KBF,N1,EHZ,39.506699,-120.213898,2111.0,1984.315,2018.163
NN.LCH.,NN,LCH,,EHZ,37.232899,-117.645897,1414.0,1990.001,3000.001
NN.LHV.,NN,LHV,,"HHE,HHN,EHZ,HHZ",38.251301,-118.504898,2353.0,1984.001,3000.001
NN.LHV.N1,NN,LHV,N1,EHZ,38.251301,-118.504898,2353.0,1984.001,3000.001
NN.LOY.,NN,LOY,,EHZ,39.6586,-120.236801,1582.0,1990.001,2018.163
NN.LUL.,NN,LUL,,EHZ,38.0522,-119.181297,2243.0,1984.080,2020.138
NN.LUL.N1,NN,LUL,N1,EHZ,38.0522,-119.181297,2243.0,1984.080,2020.138
NN.LVO.,NN,LVO,,EHZ,39.871601,-120.872902,1372.0,1999.295,2001.228
NN.MCA.,NN,MCA,,EHZ,36.6465,-117.281403,303.0,1990.001,3000.001
NN.MCC.,NN,MCC,,EHZ,37.919399,-119.025299,2255.0,1990.001,2020.138
NN.MGC.N1,NN,MGC,N1,EHZ,37.544998,-118.817833,2565.0,1984.238,1986.213
NN.MGM.,NN,MGM,,EHZ,37.441166,-117.496498,2100.0,1990.001,2000.306
NN.MGN.,NN,MGN,,EHZ,37.813099,-118.696297,2464.0,1984.001,2020.138
NN.MGN.N1,NN,MGN,N1,EHZ,37.813099,-118.696297,2464.0,1984.001,2020.138
NN.MIL.,NN,MIL,,EHZ,38.0247,-118.186798,2030.0,1990.001,3000.001
NN.MLN.N1,NN,MLN,N1,EHZ,37.5937,-118.343697,1780.0,1986.202,2020.138
NN.MLN.,NN,MLN,,EHZ,37.5937,-118.343697,1780.0,1986.202,2020.138
NN.MMC.,NN,MMC,,EHZ,38.360699,-119.129303,2548.0,1984.001,2011.108
NN.MMC.N1,NN,MMC,N1,EHZ,38.360699,-119.129303,2548.0,1984.001,2011.108
NN.MNA.,NN,MNA,,BHZ,38.432835,-118.15667,1524.0,2001.228,2010.323
NN.MPK.,NN,MPK,,"HHE,HHN,EHZ,HHZ",39.2928,-120.0364,2599.0,1973.091,3000.001
NN.MPT.,NN,MPT,,EHZ,38.063301,-118.780403,2178.0,1993.181,2020.138
NN.MRS.,NN,MRS,,EHZ,37.510666,-118.882164,3680.0,1993.278,2001.001
NN.MRS.N1,NN,MRS,N1,EHZ,37.510666,-118.882164,3680.0,1993.278,2001.001
NN.MZP.,NN,MZP,,EHZ,37.700802,-117.383904,2371.0,1990.001,3000.001
NN.OMM.,NN,OMM,,"HHN,BHE,HHZ,HHE,BHZ,BHN",37.612301,-119.000397,2750.0,2000.194,2009.177
NN.OMMB.,NN,OMMB,,"HHE,HHN,HHZ",37.613098,-119.000504,2768.0,2011.307,3000.001
NN.ORC.,NN,ORC,,EHZ,37.635399,-118.656998,2320.0,1984.001,2020.138
NN.ORC.N1,NN,ORC,N1,EHZ,37.635399,-118.656998,2320.0,1984.001,2020.138
NN.PAH.,NN,PAH,,"HHN,BHE,HHZ,HHE,BHZ,BHN",39.7106,-119.3854,1520.0,1996.230,3000.001
NN.PAN.,NN,PAN,,EHZ,36.3932,-117.099701,1682.0,1990.001,3000.001
NN.PEA.,NN,PEA,,EHZ,39.607498,-119.961304,2142.0,2000.061,3000.001
NN.PNT.,NN,PNT,,"HHE,HHN,EHZ,HHZ",39.0891,-119.5997,2076.0,1994.288,3000.001
NN.POC.,NN,POC,,EHZ,37.362202,-118.280098,1799.0,1984.257,2020.138
NN.POC.N1,NN,POC,N1,EHZ,37.362202,-118.280098,1799.0,1984.257,2020.138
NN.PYM2.,NN,PYM2,,"HHN,HHZ,HHE,EHE,EHN,EHZ",40.1701,-119.7321,1241.0,2010.201,3000.001
NN.QSM.,NN,QSM,,EHZ,35.965,-116.869102,385.0,1990.001,3000.001
NN.RCC.,NN,RCC,,EHZ,37.4869,-118.722801,2817.0,1984.001,2020.138
NN.RCC.N1,NN,RCC,N1,EHZ,37.4869,-118.722801,2817.0,1984.001,2020.138
NN.REDF.,NN,REDF,,"HHE,HHN,HHZ",39.39,-119.7647,1466.0,2013.144,3000.001
NN.RUB.,NN,RUB,,"HHN,HHZ,HHE,EHE,EHN,EHZ",39.051701,-120.1549,2045.2,2001.297,3000.001
NN.RYN.,NN,RYN,,EHZ,38.628101,-118.522301,1651.0,1985.001,3000.001
NN.SAG5.,NN,SAG5,,EHZ,39.4264,-120.3119,2564.0,2017.207,3000.001
NN.SAT.,NN,SAT,,EHZ,39.602402,-120.447998,1972.0,1999.287,2018.163
NN.SBT.,NN,SBT,,EHZ,39.6267,-120.6669,2152.0,1999.285,3000.001
NN.SCH.N1,NN,SCH,N1,EHZ,37.3591,-118.688904,2346.0,1984.001,2020.138
NN.SCH.,NN,SCH,,EHZ,37.3591,-118.688904,2346.0,1984.001,2020.138
NN.SHP.,NN,SHP,,"EHE,EHN,EHZ",36.5047,-115.1567,1632.0,2000.249,2011.103
NN.SJC.,NN,SJC,,EHZ,38.3491,-119.44,2246.0,1980.336,3000.001
NN.SJC.N1,NN,SJC,N1,EHZ,38.3491,-119.44,2246.0,1980.336,3000.001
NN.SLK.,NN,SLK,,EHZ,37.8344,-119.1297,2465.0,1986.098,2011.108
NN.SLK.N1,NN,SLK,N1,EHZ,37.8344,-119.1297,2465.0,1986.098,2011.108
NN.SMI.,NN,SMI,,EHZ,39.867199,-120.530602,2344.0,1999.295,2019.127
NN.SRV2.,NN,SRV2,,"HHE,HHN,HHZ",39.6533,-120.3432,1700.0,2011.334,2013.150
NN.SRV3.,NN,SRV3,,"HHE,HHN,HHZ",39.650501,-120.441498,1524.0,2011.314,2012.296
NN.SRVL.,NN,SRVL,,"HHE,HHN,HHZ",39.5709,-120.330597,1666.0,2011.257,2013.240
NN.STR.N1,NN,STR,N1,EHZ,37.436668,-118.760002,3704.0,1985.171,1994.182
