id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
NP.1041.,NP,1041,,EHZ,34.9977,-119.4858,837.0,1969.101,3000.001
NP.1041.10,NP,1041,10,EHZ,34.9977,-119.4858,837.0,1969.101,3000.001
NP.1865.,NP,1865,,EHZ,36.88311,-121.3908,74.0,2007.199,2020.225
NP.2202.,NP,2202,,EHZ,46.60007,-112.03767,1226.0,1940.153,3000.001
NP.2205.0B,NP,2205,0B,EHZ,45.6671,-111.046,1497.0,1981.006,3000.001
NP.5036.,NP,5036,,EHZ,34.1926,-117.42744,618.0,1993.161,3000.001
NP.5036.10,NP,5036,10,EHZ,34.1926,-117.42744,618.0,1993.161,3000.001
NP.5053.,NP,5053,,EHZ,32.6695,-115.4925,2.0,1974.046,3000.001
NP.5053.10,NP,5053,10,EHZ,32.6695,-115.4925,2.0,1974.046,3000.001
NP.5054.,NP,5054,,EHZ,32.69323,-115.33819,9.0,1976.090,3000.001
NP.5054.10,NP,5054,10,EHZ,32.69323,-115.33819,9.0,1976.090,3000.001
NP.5080.10,NP,5080,10,EHZ,34.07834,-118.69391,413.0,1975.018,3000.001
NP.5080.,NP,5080,,EHZ,34.07834,-118.69391,413.0,1975.018,3000.001
NP.5241.,NP,5241,,EHZ,33.51237,-116.80035,1043.0,1987.202,3000.001
NP.5241.10,NP,5241,10,EHZ,33.51237,-116.80035,1043.0,1987.202,3000.001
NP.5272.,NP,5272,,EHZ,32.7081,-115.09256,38.0,1989.047,3000.001
NP.5272.10,NP,5272,10,EHZ,32.7081,-115.09256,38.0,1989.047,3000.001
NP.5288.,NP,5288,,EHZ,33.69729,-118.02485,1.0,1991.071,3000.001
NP.5288.10,NP,5288,10,EHZ,33.69729,-118.02485,1.0,1991.071,3000.001
NP.5296.,NP,5296,,EHZ,34.13665,-118.12847,232.0,1991.364,3000.001
NP.5296.10,NP,5296,10,EHZ,34.13665,-118.12847,232.0,1991.364,3000.001
NP.5296.20,NP,5296,20,EHZ,34.13665,-118.12847,232.0,1991.364,3000.001
NP.5337.10,NP,5337,10,EHZ,34.14003,-117.29392,364.0,1994.342,3000.001
NP.5337.,NP,5337,,EHZ,34.14003,-117.29392,364.0,1994.342,3000.001
NP.5371.,NP,5371,,EHZ,34.20588,-117.3671,567.0,1994.298,3000.001
NP.5371.10,NP,5371,10,EHZ,34.20588,-117.3671,567.0,1994.298,3000.001
NP.5375.,NP,5375,,EHZ,33.15569,-116.1679,117.0,1995.035,3000.001
NP.5375.10,NP,5375,10,EHZ,33.15569,-116.1679,117.0,1995.035,3000.001
NP.5409.,NP,5409,,EHZ,34.23396,-117.48244,840.0,1998.302,3000.001
NP.5409.10,NP,5409,10,EHZ,34.23396,-117.48244,840.0,1998.302,3000.001
NP.5422.,NP,5422,,EHZ,34.18504,-118.44698,216.0,2001.114,3000.001
NP.5422.10,NP,5422,10,EHZ,34.18504,-118.44698,216.0,2001.114,3000.001
NP.5425.,NP,5425,,EHZ,34.27718,-118.55965,362.0,2002.101,3000.001
NP.5425.10,NP,5425,10,EHZ,34.27718,-118.55965,362.0,2002.101,3000.001
NP.5430.10,NP,5430,10,EHZ,33.19814,-117.37824,25.0,2001.163,2024.185
NP.5430.,NP,5430,,EHZ,33.19814,-117.37824,25.0,2001.163,2024.185
NP.5431.,NP,5431,,EHZ,34.2186,-118.86804,249.0,2001.165,3000.001
NP.5431.10,NP,5431,10,EHZ,34.2186,-118.86804,249.0,2001.165,3000.001
NP.5434.,NP,5434,,EHZ,34.0848,-118.86379,413.0,2002.072,2019.324
NP.5434.10,NP,5434,10,EHZ,34.0848,-118.86379,413.0,2002.072,2019.324
NP.5481.10,NP,5481,10,EHZ,34.5993,-118.45375,918.0,2012.110,3000.001
