id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
PB.B001.,PB,B001,,"EH2,EH1,EHZ",48.043072,-123.131409,237.0,2005.172,3000.001
PB.B003.,PB,B003,,"EH2,EH1,EHZ",48.062359,-124.140862,284.7,2005.172,3000.001
PB.B004.,PB,B004,,"EH2,EH1,EHZ",48.201923,-124.42701,30.0,2005.166,3000.001
PB.B005.,PB,B005,,"EH2,EH1,EHZ",48.059547,-123.503281,302.7,2005.200,3000.001
PB.B006.,PB,B006,,"EH2,EH1,EHZ",48.0588,-123.500801,302.0,2005.209,3000.001
PB.B007.,PB,B007,,"EH2,EH1,EHZ",48.057575,-123.504112,293.0,2005.200,3000.001
PB.B009.,PB,B009,,"EH2,EH1,EHZ",48.64867,-123.451172,15.0,2005.257,3000.001
PB.B010.,PB,B010,,"EH2,EH1,EHZ",48.650169,-123.451332,5.0,2005.269,3000.001
PB.B011.,PB,B011,,"EH2,EH1,EHZ",48.649544,-123.448189,22.0,2005.256,3000.001
PB.B012.,PB,B012,,"EH2,EH1,EHZ",48.924625,-125.541977,13.0,2005.264,3000.001
PB.B013.,PB,B013,,"EH2,EH1,EHZ",47.813,-122.910797,75.3,2007.005,3000.001
PB.B014.,PB,B014,,"EH2,EH1,EHZ",47.513302,-123.8125,64.7,2008.064,3000.001
PB.B017.,PB,B017,,"EH2,EH1,EHZ",46.995998,-123.557503,33.9,2007.192,3000.001
PB.B018.,PB,B018,,"EH2,EH1,EHZ",46.9795,-123.020302,10.0,2006.021,3000.001
PB.B019.,PB,B019,,"EH2,EH1,EHZ",46.652699,-123.651802,9.0,2008.133,3000.001
PB.B020.,PB,B020,,"EH2,EH1,EHZ",46.382702,-123.844498,31.2,2008.090,3000.001
PB.B022.,PB,B022,,"EH2,EH1,EHZ",45.954609,-123.931046,10.0,2006.034,3000.001
PB.B023.,PB,B023,,"EH2,EH1,EHZ",46.111198,-123.078697,177.4,2008.137,3000.001
PB.B024.,PB,B024,,"EH2,EH1,EHZ",45.637798,-123.855797,37.7,2006.053,3000.001
PB.B026.,PB,B026,,"EH2,EH1,EHZ",45.309353,-123.823051,232.0,2007.055,3000.001
PB.B027.,PB,B027,,"EH2,EH1,EHZ",44.497334,-122.962166,216.0,2007.101,3000.001
PB.B028.,PB,B028,,"EH2,EH1,EHZ",44.493668,-122.963837,140.0,2007.078,3000.001
PB.B030.,PB,B030,,"EH2,EH1,EHZ",43.971298,-122.771698,263.6,2007.295,3000.001
PB.B031.,PB,B031,,"EH2,EH1,EHZ",43.664299,-123.396698,71.0,2007.334,3000.001
PB.B032.,PB,B032,,"EH2,EH1,EHZ",43.667999,-123.392303,63.8,2007.336,3000.001
PB.B033.,PB,B033,,"EH2,EH1,EHZ",43.291698,-123.124496,312.1,2007.347,3000.001
PB.B035.,PB,B035,,"EH2,EH1,EHZ",42.503513,-123.383415,370.0,2006.078,3000.001
PB.B036.,PB,B036,,"EH2,EH1,EHZ",42.505833,-123.381668,315.3,2007.128,3000.001
PB.B039.,PB,B039,,"EH2,EH1,EHZ",41.4667,-122.4847,923.9,2007.288,3000.001
PB.B040.,PB,B040,,"EH2,EH1,EHZ",41.8308,-122.4205,819.5,2007.285,3000.001
PB.B045.,PB,B045,,"EH2,EH1,EHZ",40.436001,-123.996498,29.4,2008.260,3000.001
PB.B046.,PB,B046,,"EH2,EH1,EHZ",40.321972,-124.284302,44.0,2008.239,3000.001
PB.B047.,PB,B047,,"EH2,EH1,EHZ",40.249933,-124.169848,80.0,2008.248,3000.001
PB.B049.,PB,B049,,"EH2,EH1,EHZ",40.237499,-123.819702,117.0,2008.317,3000.001
PB.B054.,PB,B054,,"EH2,EH1,EHZ",37.860199,-122.199501,405.6,2008.234,3000.001
PB.B057.,PB,B057,,"EH2,EH1,EHZ",38.027302,-122.565498,14.4,2008.162,3000.001
PB.B058.,PB,B058,,"EH2,EH1,EHZ",36.7995,-121.580803,114.2,2007.137,3000.001
PB.B065.,PB,B065,,"EH2,EH1,EHZ",36.743668,-121.474167,643.0,2007.172,3000.001
PB.B066.,PB,B066,,"EH2,EH1,EHZ",36.857533,-121.592167,67.0,2007.158,3000.001
PB.B067.,PB,B067,,"EH2,EH1,EHZ",36.764999,-121.565498,126.2,2007.163,3000.001
PB.B072.,PB,B072,,"EH2,EH1,EHZ",35.831,-120.345,397.7,2007.239,3000.001
PB.B073.,PB,B073,,"EH2,EH1,EHZ",35.9467,-120.4717,535.3,2006.291,3000.001
PB.B075.,PB,B075,,"EH2,EH1,EHZ",35.929199,-120.515297,583.0,2006.286,3000.001
PB.B076.,PB,B076,,"EH2,EH1,EHZ",35.9398,-120.424797,445.0,2006.286,3000.001
PB.B078.,PB,B078,,"EH2,EH1,EHZ",35.8377,-120.3452,386.8,2006.285,3000.001
PB.B079.,PB,B079,,"EH2,EH1,EHZ",35.715698,-120.205704,436.6,2006.286,3000.001
PB.B081.,PB,B081,,"HH1,HHZ,EH2,HH2,EH1,EHZ",33.711166,-116.714165,1467.0,2006.166,3000.001
PB.B082.,PB,B082,,"HH1,HHZ,EH2,HH2,EH1,EHZ",33.598183,-116.596008,1374.8,2006.161,3000.001
PB.B082A.,PB,B082A,,"BHE,HH1,HHN,HHZ,HHE,BH2,BHZ,HH2,BH1,BHN",33.598183,-116.596008,1374.8,2013.061,3000.001
