id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
TA.BNLO.,TA,BNLO,,"BHN,BHZ,BHE",37.1311,-122.1729,794.0,2005.110,2007.245
TA.HAST.,TA,HAST,,"BHN,BHZ,BHE",36.3887,-121.5514,542.0,2004.201,2007.245
TA.HELL.,TA,HELL,,"BHN,BHZ,BHE",36.6801,-119.0228,1145.0,2005.042,2007.287
TA.I02A.,TA,I02A,,"BHN,BHZ,BHE",44.0035,-123.8299,170.1,2005.322,2008.022
TA.K01A.,TA,K01A,,"BHN,BHZ,BHE",42.8088,-124.4692,175.0,2005.354,2007.334
TA.K04D.,TA,K04D,,"HHN,BHE,HHZ,HHE,BHZ,BHN",42.6246,-121.7535,1315.0,2009.286,2016.274
TA.K06A.,TA,K06A,,"BHN,BHZ,BHE",42.7991,-120.251,1340.2,2006.029,2007.307
TA.L02A.,TA,L02A,,"BHN,BHZ,BHE",42.156,-123.6018,484.6,2005.351,2007.333
TA.L02D.,TA,L02D,,"HHN,BHE,HHZ,HHE,BHZ,BHN",42.1578,-123.6031,458.0,2009.312,2012.283
TA.L02E.,TA,L02E,,"HHN,BHE,HHZ,HHE,BHZ,BHN",42.158,-123.6029,454.0,2012.284,2016.119
TA.L04D.,TA,L04D,,"HHN,BHE,HHZ,HHE,BHZ,BHN",42.218,-122.3046,1437.0,2010.211,2016.274
TA.LAVA.,TA,LAVA,,"BHN,BHZ,BHE",38.7552,-120.7395,828.0,2004.344,2007.342
TA.M02C.,TA,M02C,,"HHN,BHE,HHZ,HHE,BHZ,BHN",41.392,-122.8538,960.0,2005.181,2016.122
TA.M03C.,TA,M03C,,"BHN,BHZ,BHE",41.2742,-122.122,1047.0,2005.194,2007.317
TA.M04C.,TA,M04C,,"HHN,BHE,HHZ,HHE,BHZ,BHN",41.7826,-121.8393,1391.0,2005.181,2016.116
TA.M05C.,TA,M05C,,"BHN,BHZ,BHE",41.3593,-121.1457,1333.0,2005.180,2007.283
TA.M06C.,TA,M06C,,"BHN,BHZ,BHE",41.2047,-120.4772,1434.0,2005.179,2007.294
TA.N02C.,TA,N02C,,"BHN,BHZ,BHE",40.822,-123.3057,717.0,2005.182,2007.323
TA.N02D.,TA,N02D,,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.974,-122.705,937.0,2009.309,2016.119
TA.O01C.,TA,O01C,,"BHN,BHZ,BHE",40.1398,-123.8195,137.8,2005.237,2007.321
TA.O02C.,TA,O02C,,"BHN,BHZ,BHE",40.1767,-122.7883,962.0,2005.201,2007.284
TA.O02D.,TA,O02D,,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.1766,-122.7884,965.0,2010.213,2016.123
TA.O03C.,TA,O03C,,"BHN,BHZ,BHE",39.9971,-122.0319,85.0,2005.109,2007.249
TA.O03E.,TA,O03E,,"HHN,BHE,HHZ,HHE,BHZ,BHN",40.2946,-121.8021,967.0,2012.282,2016.123
TA.O04C.,TA,O04C,,"BHN,BHZ,BHE",40.32,-121.086,1513.0,2005.145,2007.331
TA.O05C.,TA,O05C,,"BHN,BHZ,BHE",39.962,-120.9176,1032.0,2005.110,2007.324
TA.P01C.,TA,P01C,,"BHN,BHZ,BHE",39.469,-123.3375,440.9,2005.236,2007.247
TA.P05C.,TA,P05C,,"BHN,BHZ,BHE",39.3028,-120.6077,1756.5,2005.158,2007.286
TA.Q03C.,TA,Q03C,,"BHN,BHZ,BHE",38.6333,-122.0145,108.0,2005.179,2007.338
TA.Q04C.,TA,Q04C,,"BHN,BHZ,BHE",38.839,-121.3769,14.0,2004.345,2007.285
TA.R04C.,TA,R04C,,"BHN,BHZ,BHE",38.2571,-120.9363,115.0,2004.343,2007.338
TA.R05C.,TA,R05C,,"BHN,BHZ,BHE",38.7028,-120.0755,2366.0,2005.217,2007.278
TA.R06C.,TA,R06C,,"BHN,BHZ,BHE",38.5226,-119.4509,1698.0,2005.216,2008.075
TA.R07C.,TA,R07C,,"BHN,BHZ,BHE",38.089,-119.0469,1996.0,2005.215,2007.275
TA.S04C.,TA,S04C,,"BHN,BHZ,BHE",37.5049,-121.3278,310.0,2004.350,2007.246
TA.S05C.,TA,S05C,,"BHN,BHZ,BHE",37.346,-120.3296,85.0,2005.108,2007.342
TA.S06C.,TA,S06C,,"BHN,BHZ,BHE",37.8817,-119.8488,1377.0,2005.281,2007.277
TA.S08C.,TA,S08C,,"BHN,BHZ,BHE",37.4993,-118.1711,3087.0,2005.214,2007.276
TA.T05C.,TA,T05C,,"BHN,BHZ,BHE",36.8953,-120.6737,46.0,2005.045,2007.246
TA.T06C.,TA,T06C,,"BHN,BHZ,BHE",37.0069,-119.7089,216.0,2004.341,2007.340
TA.U04C.,TA,U04C,,"BHN,BHZ,BHE",36.3627,-120.7828,812.6,2004.340,2007.345
TA.U05C.,TA,U05C,,"BHN,BHZ,BHE",36.3356,-120.1205,92.0,2004.339,2007.340
TA.V03C.,TA,V03C,,"BHN,BHZ,BHE",36.0214,-121.2356,336.0,2005.054,2007.339
TA.V05C.,TA,V05C,,"BHN,BHZ,BHE",35.8667,-119.9028,118.0,2005.101,2007.341
