id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
UO.CAVE.,UO,CAVE,,"HHE,HHN,HHZ",42.12087,-123.57071,440.0,2016.121,3000.001
UO.DBO.,UO,DBO,,"HHN,BHE,HHZ,HHE,BHZ,BHN",43.118721,-123.244423,957.0,1994.032,3000.001
UO.DING.,UO,DING,,"HHE,HHN,HHZ",42.86189,-124.05399,100.0,2019.016,3000.001
UO.HBUG.,UO,HBUG,,"HHE,HHN,HHZ",42.64079,-124.37943,387.7,2020.190,3000.001
UO.KBO.,UO,KBO,,"HHE,HHN,HHZ",42.212357,-124.225983,1010.0,2020.177,3000.001
UO.KEB.,UO,KEB,,"HHE,HHN,HHZ",42.872211,-124.334251,846.0,2020.148,3000.001
UO.ROGE.,UO,ROGE,,"HHE,HHN,HHZ",42.69548,-123.6654,989.0,2016.275,3000.001
UO.SALT.,UO,SALT,,"HHE,HHN,HHZ",42.49337,-122.58841,1179.4,2020.200,3000.001
UO.SISQ.,UO,SISQ,,"HHE,HHN,HHZ",42.275352,-123.632322,395.0,2019.030,3000.001
UO.WOOD.,UO,WOOD,,"HHE,HHN,HHZ",42.217899,-122.304604,1437.0,2016.275,3000.001
