id,network_code,station_code,location_code,channels,latitude,longitude,elevation,start_date,end_date
WR.BKW.,WR,BKW,,"EHE,EHN,EHZ",39.769138,-120.43647,2209.0,2000.355,3000.001
WR.BKW.N1,WR,BKW,N1,EHZ,39.769138,-120.43647,2209.0,2000.355,3000.001
WR.CSP.,WR,CSP,,"EHE,EHN,EHZ",34.297958,-117.35833,1239.0,1970.030,3000.001
WR.CSP.N1,WR,CSP,N1,EHZ,34.297958,-117.35833,1239.0,1970.030,3000.001
WR.FRDLA.,WR,FRDLA,,"HHE,HHN,HHZ",39.894577,-120.189189,1712.1,2020.345,3000.001
WR.FRDLA.10,WR,FRDLA,10,"HHE,HHN,HHZ",39.894577,-120.189189,1712.1,2020.345,3000.001
WR.FRI.,WR,FRI,,EHZ,36.992001,-119.708,119.0,1996.069,2015.354
WR.FRI.N1,WR,FRI,N1,EHZ,36.992001,-119.708,119.0,1996.069,2015.354
WR.GAS.N1,WR,GAS,N1,EHZ,39.654701,-122.715897,1355.0,1980.153,3000.001
WR.GAS.,WR,GAS,,EHZ,39.654701,-122.715897,1355.0,1980.153,3000.001
WR.GBB.N1,WR,GBB,N1,EHZ,39.800835,-122.346336,246.0,1984.041,1985.316
WR.GFR.N1,WR,GFR,N1,EHZ,39.617001,-122.427834,236.0,1984.041,1986.001
WR.GRM.N1,WR,GRM,N1,EHZ,39.917168,-122.669502,1307.0,1984.041,1985.306
WR.HUF.,WR,HUF,,"EHE,EHN,EHZ",40.044498,-120.885597,2193.0,2000.355,3000.001
WR.HUF.N1,WR,HUF,N1,EHZ,40.044498,-120.885597,2193.0,2000.355,3000.001
WR.KPK.,WR,KPK,,"EHE,EHN,EHZ",39.583328,-121.306328,897.0,1984.001,3000.001
WR.KPK.N1,WR,KPK,N1,EHZ,39.583328,-121.306328,897.0,1984.001,3000.001
WR.MGL.,WR,MGL,,EHZ,39.811832,-121.556999,1010.0,1966.305,2015.354
WR.MGL.N1,WR,MGL,N1,EHZ,39.811832,-121.556999,1010.0,1966.305,2015.354
WR.ORES.10,WR,ORES,10,"HHE,HHN,HHZ",37.310641,-121.120729,79.0,1964.156,3000.001
WR.ORV.,WR,ORV,,"EHE,EHN,EHZ",39.553833,-121.500336,362.0,1984.001,3000.001
WR.ORV.N1,WR,ORV,N1,EHZ,39.553833,-121.500336,362.0,1984.001,3000.001
WR.PAM.,WR,PAM,,"EHE,EHN,EHZ",39.449001,-121.520958,125.0,1976.097,3000.001
WR.PAM.N1,WR,PAM,N1,EHZ,39.449001,-121.520958,125.0,1976.097,3000.001
WR.PEC.,WR,PEC,,"EHE,EHN,EHZ",33.891979,-117.161346,582.0,1971.334,3000.001
WR.PEC.N1,WR,PEC,N1,EHZ,33.891979,-117.161346,582.0,1971.334,3000.001
WR.PYR.,WR,PYR,,"EHE,EHN,EHZ",34.567799,-118.741898,1245.0,1988.339,3000.001
WR.PYR.N1,WR,PYR,N1,EHZ,34.567799,-118.741898,1245.0,1988.339,3000.001
WR.SAC.N1,WR,SAC,N1,EHZ,38.575699,-121.497803,8.0,2000.355,2020.328
WR.SAC.01,WR,SAC,01,"EHE,EHN,EHZ",38.575699,-121.497803,8.0,2000.355,2020.328
WR.SAC.,WR,SAC,,"EHE,EHN,EHZ",38.575699,-121.497803,8.0,2000.355,2020.328
WR.SAQ.,WR,SAQ,,"EHE,EHN,EHZ",37.045837,-120.949638,73.0,2000.355,3000.001
WR.SAQ.N1,WR,SAQ,N1,EHZ,37.045837,-120.949638,73.0,2000.355,3000.001
WR.SCK.,WR,SCK,,"EHE,EHN,EHZ",37.183208,-121.071159,72.0,2000.355,3000.001
WR.SCK.N1,WR,SCK,N1,EHZ,37.183208,-121.071159,72.0,2000.355,3000.001
WR.SFJ.,WR,SFJ,,EHZ,37.049332,-121.172501,427.0,2004.125,2015.354
WR.SFM.,WR,SFM,,"EHE,EHN,EHZ",40.446541,-120.357841,2053.0,2000.355,3000.001
WR.SFM.N1,WR,SFM,N1,EHZ,40.446541,-120.357841,2053.0,2000.355,3000.001
WR.SLD.,WR,SLD,,"EHE,EHN,EHZ",37.074699,-121.221222,136.0,2003.152,3000.001
WR.SPR.,WR,SPR,,"EHE,EHN,EHZ",37.081154,-121.061836,115.0,2004.125,3000.001
