id,network_code,station_code,location_code,channels,latitude,longitude,elevation
BK.ARC.,BK,ARC,,"BHE,BHN,BHZ,BLE,BLN,BLZ,HHE,HHN,HHZ,HLE,HLN,HLZ",40.87772,-124.077377,30.1
BK.AASB.S0,BK,AASB,S0,"HNE,HNN,HNZ",38.43026,-121.10975,67.1
BK.BABI.00,BK,BABI,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",36.51579,-120.85301,571.2
BK.BRIB.40,BK,BRIB,40,BN3,37.918861,-122.151787,219.7
BK.ADAM.00,BK,ADAM,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",38.75142,-122.33414,627.3
BK.BAYL.S0,BK,BAYL,S0,"HNE,HNN,HNZ",39.60519,-122.05753,37.3
BK.BRAD.00,BK,BRAD,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",35.92625,-120.76114,470.0
BK.BRIB.,BK,BRIB,,"BHE,BHN,BHZ,BL3,BLE,BLN,BLZ,HHE,HHN,HHZ,HL3,HLE,HLN,HLZ",37.918861,-122.151787,219.7
BK.CCOR.00,BK,CCOR,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",36.068841,-119.549318,61.9
BK.BARR.S0,BK,BARR,S0,"HNE,HNN,HNZ",39.30477,-123.19748,264.7
BK.BDM.00,BK,BDM,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",37.953972,-121.86554,219.8
BK.BLUE.00,BK,BLUE,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",38.34234,-120.36462,1840.5
BK.BCCR.00,BK,BCCR,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",39.81856,-121.73417,518.8
BK.BL88.00,BK,BL88,00,"HNE,HNN,HNZ",37.877151,-122.254288,602.2
BK.BRK.,BK,BRK,,"BHE,BHN,BHZ,BLE,BLN,BLZ,HHE,HHN,HHZ,HLE,HLN,HLZ",37.87352,-122.260986,49.4
BK.CGRV.00,BK,CGRV,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",36.79147,-118.66033,1449.0
BK.DIAZ.00,BK,DIAZ,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",41.00383,-120.74563,1984.0
BK.ELFS.,BK,ELFS,,"BHE,BHN,BHZ,BLE,BLN,BLZ,HHE,HHN,HHZ,HLE,HLN,HLZ",40.618351,-120.727913,1554.5
BK.HELL.00,BK,HELL,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",36.680111,-119.02282,1140.0
BK.LCOW.00,BK,LCOW,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",40.64261,-122.18524,236.2
BK.MCCM.,BK,MCCM,,"BHE,BHN,BHZ,BLE,BLN,BLZ,HHE,HHN,HHZ,HLE,HLN,HLZ",38.144779,-122.88018,-7.7
BK.DMOR.00,BK,DMOR,00,"BHE,BHN,BHZ,HHE,HHN,HHZ,HNE,HNN,HNZ",40.70973,-123.70331,1305.0
BK.HELL.,BK,HELL,,"BHE,BHN,BHZ,BLE,BLN,BLZ,HHE,HHN,HHZ,HLE,HLN,HLZ",36.680111,-119.02282,1140.0
